SYMBOL,HIGH,LOW,DAILY RANGE
CAPLIPOINT,293.5,286.5,7.0
CAPTRUST,160,147.05,12.949997
CARBORUNIV,350,342.1,7.899994
CAREERP,127.9,123,4.9000015
CARERATING,680,663.1,16.900024
CASTEXTECH,0.4,0.35,0.050000012
CASTROLIND,136.65,133.55,3.0999908
CCHHL,3.2,3,0.20000005
CCL,215,195.35,19.649994
CDSL,274.8,269,5.799988
CEATLTD,1007,993.2,13.799988
CEBBCO,16,15.1,0.8999996
CELEBRITY,6.3,6.05,0.25
CELESTIAL,2.9,2.85,0.05000019
CENTENKA,201.95,195.5,6.449997
CENTEXT,3.2,3.05,0.1500001
CENTRALBK,20,19,1.0
CENTRUM,22.9,21.6,1.2999992
CENTUM,414.95,395.5,19.450012
CENTURYPLY,172.65,169.25,3.399994
CENTURYTEX,627.5,605.05,22.450012
CERA,2697.95,2678.45,19.5
CEREBRAINT,31.1,31.1,0.0
CESC,746.4,734.8,11.600037
CESCVENT,340.1,331.05,9.050018
CGCL,192.9,186.05,6.849991
CGPOWER,10.65,10.15,0.5
CHALET,336.05,330,6.049988
CHAMBLFERT,181.7,175.05,6.649994
CHEMBOND,236,223.55,12.449997
CHEMFAB,192.85,183.05,9.800003
CHENNPETRO,138.6,132.6,6.0
CHOLAFIN,333.75,324,9.75
CHOLAHLDNG,563,540.05,22.950012
CHROMATIC,0.6,0.5,0.100000024
CIGNITITEC,273.3,264.4,8.899994
CIMMCO,25.25,23.5,1.75
CINELINE,39,37.5,1.5
CINEVISTA,7.7,7.3,0.39999962
CIPLA,467.4,460.35,7.049988
CKFSL,0.45,0.4,0.049999982
CLEDUCATE,77.95,73.4,4.5499954
CLNINDIA,409.25,401,8.25
CMICABLES,47.7,45.1,2.6000023
CMMIPL,6.7,6.7,0.0
CNOVAPETRO,7.5,7.1,0.4000001
COALINDIA,193,188,5.0
COCHINSHIP,400.05,384.1,15.949982
COFFEEDAY,31.55,29.05,2.5
COLPAL,1503,1480.25,22.75
COMPINFO,19.25,17.35,1.8999996
COMPUSOFT,7.4,7.2,0.20000029
CONCOR,581.9,570.45,11.450012
CONFIPET,30.1,26.5,3.6000004
CONSOFINVT,37.55,36.45,1.0999985
CONTI,74.7,72.5,2.199997
CONTROLPR,276.85,252.55,24.300003
CORALFINAC,11,10.6,0.39999962
CORDSCABLE,53,47.7,5.299999
COROMANDEL,624,612.3,11.700012
CORPBANK,23.75,23.5,0.25
COSMOFILMS,281.25,276.5,4.75
COUNCODOS,1.65,1.55,0.100000024
COX&KINGS,1.1,1.05,0.05000007
CPSEETF,21.77,21.47,0.30000114
CREATIVE,108,100.2,7.800003
CREATIVEYE,1.65,1.65,0.0
CREDITACC,882.4,851,31.400024
CREST,106.1,97.35,8.75
CRISIL,1774.8,1711,63.80005
